Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0008,L-0001,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,187301 - VIC/TAS NRM Adj Ctr,187301,Gross Up Adjustment Actual,1.0000,,0.00
I-0008,L-0002,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,150200 - VIC/TAS - DO NOT DELETE,150200,Gross Up Elimination Actual,-1.0000,,0.00
I-0008,L-0003,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187653 - HLP VIC,MI187653,Gross Up Adjustment Actual,-1.0000,,0.00
I-0008,L-0004,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187653 - HLP VIC,MI187653,Gross Up Elimination Actual,1.0000,,0.00
I-0009,L-0000,0.00,1.00,ALOANS - Loans,ALOANS,MI187655 - HLP WA,MI187655,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0009,L-0001,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,720971 - WA NRM Adj Ctr,720971,Gross Up Adjustment Actual,1.0000,,0.00
I-0009,L-0002,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,150240 - WA - DO NOT DELETE,150240,Gross Up Elimination Actual,-1.0000,,0.00
I-0009,L-0003,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187655 - HLP WA,MI187655,Gross Up Adjustment Actual,-1.0000,,0.00
I-0009,L-0004,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187655 - HLP WA,MI187655,Gross Up Elimination Actual,1.0000,,0.00
I-0010,L-0000,0.00,1.00,ALOANS - Loans,ALOANS,MI187656 - HLP QLD,MI187656,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0010,L-0001,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,144171 - QLD NRM Adj Ctr,144171,Gross Up Adjustment Actual,1.0000,,0.00
I-0010,L-0002,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,150210 - QLD - DO NOT DELETE,150210,Gross Up Elimination Actual,-1.0000,,0.00
I-0010,L-0003,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187656 - HLP QLD,MI187656,Gross Up Adjustment Actual,-1.0000,,0.00
I-0010,L-0004,1.00,1.00,,,,,,ALOANS - Loans,ALOANS,MI187656 - HLP QLD,MI187656,Gross Up Elimination Actual,1.0000,,0.00
I-0011,L-0000,0.00,1.00,ALOANS - Loans,ALOANS,MI187659 - HLP SA,MI187659,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
